product_id,sku,name,category_id,supplier_id,unit_price,unit_cost,reorder_level,reorder_qty
1,SKU-000001,Pre-emptive analyzing help-desk,1,79,759.68,424.4,34,134
2,SKU-000002,Up-sized contextually-based initiative,12,2,255.56,154.45,11,160
3,SKU-000003,Profound coherent installation,4,63,422.93,253.25,5,89
4,SKU-000004,Phased hybrid hub,10,47,506.68,395.84,32,96
5,SKU-000005,Switchable leadingedge complexity,5,46,431.09,276.34,32,51
6,SKU-000006,Balanced client-driven infrastructure,14,96,268.89,185.9,26,58
7,SKU-000007,Synchronized encompassing capability,14,63,136.61,84.85,40,176
8,SKU-000008,Versatile well-modulated time-frame,13,65,580.74,411.87,29,83
9,SKU-000009,Profit-focused 24/7 throughput,8,7,81.51,58.13,48,137
10,SKU-000010,Polarized explicit forecast,16,11,343.73,221.76,32,113
11,SKU-000011,Grass-roots zero administration budgetary management,9,90,416.83,318.19,20,159
12,SKU-000012,Upgradable motivating pricing structure,6,25,195.8,103.6,42,88
13,SKU-000013,Automated even-keeled core,5,55,179.92,119.15,6,101
14,SKU-000014,Progressive fault-tolerant standardization,8,29,73.87,48.6,26,159
15,SKU-000015,Business-focused exuding budgetary management,9,47,450.81,247.7,22,139
16,SKU-000016,Business-focused contextually-based analyzer,1,7,513.14,366.53,47,132
17,SKU-000017,Robust bandwidth-monitored Internet solution,6,33,148.99,110.36,36,143
18,SKU-000018,Synergized neutral throughput,5,43,358.83,173.38,28,142
19,SKU-000019,Streamlined even-keeled database,13,12,497.89,382.99,11,83
20,SKU-000020,Reverse-engineered solution-oriented core,7,91,487.42,324.95,33,75
21,SKU-000021,Up-sized methodical task-force,7,69,56.15,40.69,14,61
22,SKU-000022,Universal eco-centric task-force,12,47,114.31,67.24,33,80
23,SKU-000023,Operative multi-tasking middleware,1,22,754.37,468.55,43,120
24,SKU-000024,Re-contextualized analyzing utilization,7,95,537.24,358.16,30,176
25,SKU-000025,Organic web-enabled migration,13,72,426.74,352.68,29,152
26,SKU-000026,Adaptive cohesive orchestration,7,76,384.18,312.34,49,52
27,SKU-000027,Triple-buffered uniform moderator,9,39,742.35,452.65,19,125
28,SKU-000028,Face-to-face 6thgeneration monitoring,8,38,440.85,364.34,7,87
29,SKU-000029,Business-focused secondary encryption,7,69,649.03,484.35,12,50
30,SKU-000030,Configurable tertiary neural-net,9,93,471.56,334.44,13,154
31,SKU-000031,Centralized responsive access,12,29,651.11,461.78,22,95
32,SKU-000032,User-friendly system-worthy implementation,9,81,255.74,133.2,45,191
33,SKU-000033,Future-proofed demand-driven paradigm,13,20,151.66,107.56,33,109
34,SKU-000034,Digitized mission-critical array,16,24,552.6,375.92,34,97
35,SKU-000035,Pre-emptive upward-trending contingency,10,3,721.06,419.22,24,91
36,SKU-000036,Robust content-based architecture,5,10,851.26,455.22,32,112
37,SKU-000037,Devolved upward-trending system engine,1,78,502.89,234.82,11,146
38,SKU-000038,Stand-alone 6thgeneration capacity,8,99,434.55,198.2,10,118
39,SKU-000039,Customer-focused needs-based support,11,91,185.32,75.8,10,101
40,SKU-000040,Integrated full-range matrices,5,32,88.33,73.61,8,189
41,SKU-000041,Balanced bi-directional moratorium,10,14,427.61,356.34,37,156
42,SKU-000042,Focused interactive info-mediaries,5,46,96.2,74.0,46,123
43,SKU-000043,Universal bifurcated matrix,6,15,220.42,117.87,19,76
44,SKU-000044,Seamless full-range capability,12,11,933.58,491.36,7,88
45,SKU-000045,Enterprise-wide systematic interface,5,86,164.63,93.54,48,127
46,SKU-000046,Proactive stable hub,9,92,498.89,321.36,9,50
47,SKU-000047,Digitized human-resource knowledge user,16,9,620.47,443.19,12,197
48,SKU-000048,De-engineered contextually-based throughput,13,46,291.09,220.93,25,176
49,SKU-000049,Sharable full-range challenge,8,50,388.71,219.61,31,190
50,SKU-000050,Public-key discrete info-mediaries,3,75,431.22,256.68,50,157
51,SKU-000051,Cross-group disintermediate hierarchy,1,27,513.57,271.73,6,142
52,SKU-000052,Monitored high-level time-frame,5,38,367.39,287.6,34,86
53,SKU-000053,Expanded directional approach,5,16,562.91,429.7,49,86
54,SKU-000054,Optimized holistic application,4,85,370.31,195.93,42,68
55,SKU-000055,Digitized high-level circuit,3,32,320.79,246.76,9,53
56,SKU-000056,Enterprise-wide methodical synergy,5,96,578.25,293.53,38,126
57,SKU-000057,Stand-alone system-worthy access,10,15,378.33,242.52,14,65
58,SKU-000058,Versatile context-sensitive middleware,6,2,803.26,453.82,30,158
59,SKU-000059,Profit-focused fault-tolerant strategy,8,55,606.5,350.58,15,119
60,SKU-000060,Open-architected regional approach,8,51,107.57,49.66,16,193
61,SKU-000061,Intuitive solution-oriented project,13,49,502.16,311.9,15,63
62,SKU-000062,Future-proofed bi-directional benchmark,3,47,512.7,413.47,43,135
63,SKU-000063,Quality-focused bi-directional architecture,7,77,19.56,16.3,5,129
64,SKU-000064,Automated disintermediate flexibility,3,73,178.65,98.7,41,61
65,SKU-000065,Intuitive background function,1,46,464.98,290.61,23,151
66,SKU-000066,Object-based uniform help-desk,5,90,506.15,258.24,48,74
67,SKU-000067,Vision-oriented coherent algorithm,13,62,281.29,171.52,42,59
68,SKU-000068,Persistent attitude-oriented product,3,92,280.87,150.2,19,105
69,SKU-000069,Universal cohesive middleware,17,94,823.42,415.87,43,183
70,SKU-000070,De-engineered global frame,12,80,752.0,478.98,32,60
71,SKU-000071,Expanded reciprocal portal,3,20,596.58,458.91,41,177
72,SKU-000072,Integrated neutral website,3,64,101.18,51.1,11,166
73,SKU-000073,Cloned even-keeled orchestration,12,46,194.65,162.21,10,68
74,SKU-000074,Phased eco-centric task-force,15,84,124.89,93.9,13,81
75,SKU-000075,Multi-lateral executive initiative,14,80,749.58,499.72,48,83
76,SKU-000076,Configurable systemic installation,17,58,334.37,227.46,21,60
77,SKU-000077,Fully-configurable tangible open architecture,1,20,620.45,319.82,11,124
78,SKU-000078,Face-to-face human-resource Local Area Network,3,45,368.98,194.2,34,169
79,SKU-000079,Upgradable bi-directional infrastructure,14,26,433.71,330.68,30,134
80,SKU-000080,Pre-emptive didactic standardization,16,15,62.66,35.4,22,166
81,SKU-000081,Digitized scalable data-warehouse,11,73,34.7,21.69,7,147
82,SKU-000082,Extended actuating data-warehouse,1,98,53.54,33.46,48,158
83,SKU-000083,Grass-roots impactful artificial intelligence,10,92,194.24,140.32,33,157
84,SKU-000084,Business-focused background interface,11,97,332.43,270.27,24,92
85,SKU-000085,Phased national solution,6,90,166.54,103.44,32,140
86,SKU-000086,Right-sized dedicated archive,5,42,906.48,469.88,47,131
87,SKU-000087,Intuitive bifurcated utilization,14,34,16.99,9.19,38,50
